Name,Brand,Price,Product_URL,Image_URL
Furious Rider Ace Element sneakers,Li-Ning,149 €,https://www.farfetch.com//de/shopping/men/li-ning-furious-rider-ace-element-sneakers-item-15399411.aspx,https://cdn-images.farfetch-contents.com/15/42/60/10/15426010_27698142_300.jpg
'Vintage Article' Sneakers,Common Projects,400 €,https://www.farfetch.com//de/shopping/men/common-projects-vintage-article-sneakers-item-15210878.aspx,https://cdn-images.farfetch-contents.com/15/42/60/10/15426010_27696186_300.jpg
'Replica' Sneakers,Maison Margiela,750 €,https://www.farfetch.com//de/shopping/men/maison-margiela-replica-sneakers-item-15381022.aspx,https://cdn-images.farfetch-contents.com/15/48/62/19/15486219_29244469_300.jpg
'X 032C white Salvapor Yung 2' Sneakers,adidas by 032c,179 €,https://www.farfetch.com//de/shopping/men/adidas-by-032c-x-032c-white-salvapor-yung-2-sneakers-item-14217575.aspx,https://cdn-images.farfetch-contents.com/15/48/62/19/15486219_29244481_300.jpg
'Ghost Speedcross' Sneakers,Salomon S/Lab,115 €,https://www.farfetch.com//de/shopping/men/salomon-slab-ghost-speedcross-sneakers-item-15368511.aspx,https://cdn-images.farfetch-contents.com/15/42/60/84/15426084_29227492_300.jpg
'Old Skool 36 DX' Sneakers,Vans,77 €,https://www.farfetch.com//de/shopping/men/vans-old-skool-36-dx-sneakers-item-14190914.aspx,https://cdn-images.farfetch-contents.com/15/42/60/84/15426084_29229657_300.jpg
Sneakers mit Vintage-Check,Burberry,520 €,https://www.farfetch.com//de/shopping/men/burberry-sneakers-mit-vintage-check-item-15394320.aspx,https://cdn-images.farfetch-contents.com/15/75/58/10/15755810_28941179_300.jpg
Chelsea-Boots,Givenchy,995 €,https://www.farfetch.com//de/shopping/men/givenchy-chelsea-boots-item-15486286.aspx,https://cdn-images.farfetch-contents.com/15/75/58/10/15755810_28942535_300.jpg
'V-10' Sneakers,Veja,125 €,https://www.farfetch.com//de/shopping/men/veja-v-10-sneakers-item-15460961.aspx,https://cdn-images.farfetch-contents.com/14/81/49/58/14814958_26088108_300.jpg
Sneakers mit Schnürung,Santoni,369 €,https://www.farfetch.com//de/shopping/men/santoni-sneakers-mit-schnurung-item-15088134.aspx,https://cdn-images.farfetch-contents.com/14/81/49/58/14814958_26088109_300.jpg
'B-Ball' High-Top-Sneakers,Balmain,695 €,https://www.farfetch.com//de/shopping/men/balmain-b-ball-high-top-sneakers-item-15697281.aspx,https://cdn-images.farfetch-contents.com/15/39/94/11/15399411_28711936_300.jpg
'Replica' Sneakers mit Farbklecksen,Maison Margiela,480 €,https://www.farfetch.com//de/shopping/men/maison-margiela-replica-sneakers-mit-farbklecksen-item-15380538.aspx,https://cdn-images.farfetch-contents.com/15/39/94/11/15399411_28711937_300.jpg
'Chain Reaction' Sneakers,Versace,850 €,https://www.farfetch.com//de/shopping/men/versace-chain-reaction-sneakers-item-15366612.aspx,https://cdn-images.farfetch-contents.com/15/21/08/78/15210878_28829209_300.jpg
adidas x Hyke 'Ultraboost' Sneakers,adidas,274 €,https://www.farfetch.com//de/shopping/men/adidas-adidas-x-hyke-ultraboost-sneakers-item-14770530.aspx,https://cdn-images.farfetch-contents.com/15/21/08/78/15210878_28829212_300.jpg
'Rock Runner' Sneakers,Valentino Garavani,550 €,https://www.farfetch.com//de/shopping/men/valentino-garavani-rock-runner-sneakers-item-15358894.aspx,https://cdn-images.farfetch-contents.com/15/38/10/22/15381022_28085076_300.jpg
'Jago' Sneakers,Tom Ford,990 €,https://www.farfetch.com//de/shopping/men/tom-ford-jago-sneakers-item-15413175.aspx,https://cdn-images.farfetch-contents.com/15/38/10/22/15381022_28085086_300.jpg
